phrase,prompt
I can't move my head up and down.,Neck pain
i feel dizzy after severe diarrhea,Feeling dizzy
I feel a sharp pain in my stomach,Internal pain
"Had I stepped on a needle it wouldn't have hurt so much, like this damned spur in my heel.",Foot ache
i have pain but i can't specify place,Internal pain
I feel pain in my neck while I'm working.,Neck pain
I could not exercise because of my knee pain,Knee pain
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
I am having running nose,Feeling cold
I have a headache every time I eat ice cream,Head ache
Sharp pain and heavy breathing,Internal pain
There is a sharp pain in my calve.,Muscle pain
I feel dizzy when i make sudden movements,Feeling dizzy
When I wake up in the morning I feel a soreness in my body,Muscle pain
"i was injured during football match, i was diagnosed with Cruciate ligament",Injury from sports
I have a sharp pain in my ear,Ear ache
standing less than five minutes and my back start to ache,Back pain
Need to scratch my skin every minute,Skin issue
i can't breath because of  Cough,Cough
I wake up at night feeling cold,Feeling cold
I used alot of pain killer to get better but i still feel the same back pain,Back pain
I feel cold and chills even though my clothes are heavy,Feeling cold
"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy
My head ache since I woke up this morning.,Head ache
I feel a sharp pain in my head when I think too hard.,Head ache
My knee hurts when I walk,Knee pain
I have a cut on my foot that became infected from using the showers at the gym.,Infected wound
I had a pain in my knee when I was swimming,Knee pain
I wake up with a stiff neck every morning.  Massage helps but then a couple of days later it's back again.,Neck pain
i'm injured i can't play sports,Injury from sports
My lungs feel heavy like they are filled with mucus,Cough
I can't stop coughing,Cough
The knee feels like it rusted and I suddenly cannot bend it anymore.,Knee pain
He was discovered to have an open wound.,Open wound
My knee hurts when I play squash,Knee pain
I can't do anything I feel a weak in my body,Body feels weak
My shoulder hurts me so much,Shoulder pain
I feel pain inside I do not know what it is,Internal pain
Every time I look to left I feel a sharp pain in my neck.,Neck pain
I suffered a deep wound in my hand and I can not stop the bleeding,Infected wound
I don't do anything at home and still I feel exhausted.,Body feels weak
when i raise my hand i feel pain in my shoulder.,Shoulder pain
I have shooting pain in my kneecap after working out.,Knee pain
I feel a soreness in my knees when I walk,Joint pain
I can't really jump on my left foot because my triple fracture of the ankle left me with neverending pains.,Foot ache
I felt my heart hurts when I ran for along distance,Heart hurts
"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache
I get i joint pain when i try to bend my leg or my arm,Joint pain
I feel great pain in my feet after playing one of the sports games,Injury from sports
My biceps started aching after I went to the gym,Muscle pain
My chest break out with red pimples and whiteheads.,Acne
I have a cold and it makes me cough alot,Cough
I have blurred vision.,Blurry vision
Why is my shoulder aching when I try to pick up the laundry?,Shoulder pain
I feel pain in my heart when I wake up,Heart hurts
there is a red stain in my skin,Skin issue
I read a book for along time and when I finished reading I feel head ache,Head ache
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
My arm hurts when I stretch,Muscle pain
His infected wound was beginning to rot.,Infected wound
I have a dry throat,Cough
I feel pain in the knee,Knee pain
My back is hurting so much.,Back pain
"my child has cough all night, she can't sleep",Cough
"My heart hurts while I'm sad, why?",Heart hurts
My back hurts a lot when I bend,Back pain
I get big patches of irritated pimples on my back and they hurt.,Acne
longitudinal burning line across back with hard respiratory movements,Back pain
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
My chest hurts when I go to take a breath,Hard to breath
i feel sad,Emotional pain
I just can't seem to get warm.  Even when everyone around me is warm I always feel cold.,Feeling cold
I'm not feeling good I get infection wound,Infected wound
having difficulty moving my knee,Knee pain
My hair always falls out and i have lost a lot of hair lately,Hair falling out
I wish this excruciating feeling of loss could go away.,Emotional pain
I feel pain in the knee when walking,Knee pain
I feel hurts in my heart,Heart hurts
"i walked a long for 3 km, i feel pain in my foot like foot ache",Foot ache
I feel like the world goes round and round,Feeling dizzy
I feel like I can hardly breathe unless I get what's in my lungs out,Cough
"My body feels weak although I eat a lot, why?",Body feels weak
I have a rash on my skin,Skin issue
"There must be something wrong with my blood circulation, I have to wear socks even on the hottest days, my toes are frozen!",Feeling cold
There are some pimples on my face that bother me a lot,Acne
"I couldn't stop shaking or unclench my jaw, that's how cold I was.",Feeling cold
I can't stand with this horrible feeling in my stomach,Stomach ache
I feel a pain in my back,Back pain
I don't have the energy to do the things that I used to,Body feels weak
My body feels weak and i think that my face is fade and i can't sleep well,Body feels weak
I feel like something is squeezing my lungs.,Hard to breath
My ankle joint throbs when I put pressure on my foot.,Joint pain
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
My foot is hurting so much.,Foot ache
I feel like I've always got something in my throat,Cough
My body feels weak although I take my vitamins regularly.,Body feels weak
I always feel like I have menstrual pains even if I don't have my period.,Internal pain
My body aches on the inside between my hips and shoulders.,Internal pain
There is a constant tickle in my throat,Cough
When I stand I feel dizzy I do not know why,Feeling dizzy
I feel depressed when I see my hair falling out,Hair falling out
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
my neck hurts me and i can't look down or up,Neck pain
I have throbing in my shoulder,Shoulder pain
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
I feel like the room is spinning,Feeling dizzy
i cant sleep because of cough,Cough
My back got injured while i was lifting at the gym,Injury from sports
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
I've had this cough for two weeks.,Cough
"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain
"I am always cold, even when I am wearing layers",Feeling cold
When my grand father died I felt a hard emotional pain,Emotional pain
my abdominal muscles have great pain since i was at GYM,Muscle pain
I feel pain in my head with a vertigo,Head ache
I have blurry vision after I used a wrong medicine.,Blurry vision
My calves feel like they are tight as knots and are throbbing,Muscle pain
I have a lot of knee pain whenever I go running.,Knee pain
i have muscle pain at my left leg.,Muscle pain
I feel great pressure in my chest,Hard to breath
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
I feel great pain in my feet after playing one of the sports games,Injury from sports
I feel a sharp pain in my stomach,Internal pain
I have a neck pain when I sit in-front of my laptop.,Neck pain
My muscles in my lower back are aching.,Muscle pain
i have a pain in my elbow joint,Joint pain
I need a kind of cream wich make my muscles more relaxed,Muscle pain
I have a pain in my head,Head ache
My lower back hurts but it improves if I stretch it,Muscle pain
when i extend my leg there is pain in knee joint,Joint pain
My stomach has been sore since yesterday.,Stomach ache
